green:(0.0, 128.0, 0.0)|(67.29317474365234, 52.27962112426758, 39.23830795288086)
yellow:(255.0, 255.0, 0.0)|(202.20628356933594, 157.265869140625, 117.98313903808594)
red:(255.0, 0.0, 0.0)|(163.05674743652344, 126.68569946289062, 95.18575286865234)
blue:(0.0, 0.0, 255.0)|(83.81214141845703, 65.0938491821289, 48.973690032958984)
white:(255.0, 255.0, 255.0)|(248.52371215820312, 193.26612854003906, 145.08718872070312)
pink:(255.0, 192.0, 203.0)|(207.61074829101562, 161.44638061523438, 121.21623229980469)
brown:(165.0, 42.0, 42.0)|(160.86029052734375, 125.04279327392578, 93.85673522949219)
black:(0.0, 0.0, 0.0)|(61.508689880371094, 47.72566223144531, 35.851600646972656)
silver:(192.0, 192.0, 192.0)|(241.84442138671875, 188.0591583251953, 141.33731079101562)
maroon:(128.0, 0.0, 0.0)|(159.121826171875, 123.7529525756836, 92.82298278808594)
purple:(128.0, 0.0, 128.0)|(149.27349853515625, 116.00955963134766, 87.25143432617188)
gray:(128.0, 128.0, 128.0)|(171.3966064453125, 133.28211975097656, 99.93717956542969)
lime:(0.0, 255.0, 0.0)|(144.84034729003906, 112.63470458984375, 84.46839904785156)
olive:(128.0, 128.0, 0.0)|(152.37403869628906, 118.46318817138672, 88.91871643066406)
navy:(0.0, 0.0, 128.0)|(122.36026763916016, 95.09834289550781, 71.43047332763672)
azure:(240.0, 255.0, 255.0)|(175.85955810546875, 136.75503540039062, 102.62882995605469)
chocolate:(210.0, 105.0, 30.0)|(205.68594360351562, 159.95578002929688, 120.01736450195312)
coral:(255.0, 127.0, 80.0)|(142.15756225585938, 110.54051208496094, 82.92549133300781)
crimson:(220.0, 20.0, 60.0)|(161.49630737304688, 125.55205535888672, 94.32080078125)
gold:(255.0, 215.0, 0.0)|(243.06982421875, 189.01724243164062, 141.98060607910156)
ivory:(255.0, 255.0, 240.0)|(225.7677001953125, 175.59738159179688, 131.833984375)
lavender:(230.0, 230.0, 250.0)|(280.5718994140625, 218.2779998779297, 163.5690460205078)
linen:(250.0, 240.0, 230.0)|(261.124755859375, 203.0141143798828, 152.5511932373047)
orange:(255.0, 165.0, 0.0)|(230.70401000976562, 179.42372131347656, 134.65074157714844)
amber:(255.0, 191.0, 0.0)|(170.34275817871094, 132.46792602539062, 99.37054443359375)
apricot:(251.0, 206.0, 177.0)|(153.14120483398438, 119.09270477294922, 89.31796264648438)
auburn:(109.0, 53.0, 26.0)|(156.74041748046875, 121.8865737915039, 91.44207763671875)
blush:(248.0, 136.0, 133.0)|(201.33990478515625, 156.5943145751953, 117.49512481689453)
brass:(181.0, 166.0, 66.0)|(191.30856323242188, 148.70704650878906, 111.78497314453125)
bronze:(205.0, 127.0, 50.0)|(170.50709533691406, 132.5758819580078, 99.53785705566406)
buff:(240.0, 220.0, 130.0)|(179.7928009033203, 139.82357788085938, 104.88858795166016)
cerulean:(0.0, 123.0, 167.0)|(147.92079162597656, 115.02765655517578, 86.27886199951172)
champagne:(247.0, 231.0, 206.0)|(240.15185546875, 186.7752227783203, 140.146484375)
charcoal:(70.0, 70.0, 70.0)|(150.00137329101562, 116.64097595214844, 87.51397705078125)
chestnut:(205.0, 92.0, 92.0)|(156.16041564941406, 121.44065856933594, 91.07002258300781)
cinnamon:(210.0, 105.0, 30.0)|(133.744873046875, 103.95797729492188, 78.04150390625)
copper:(184.0, 115.0, 51.0)|(169.4969940185547, 131.7914276123047, 98.95393371582031)
corn:(251.0, 236.0, 93.0)|(251.17041015625, 195.35777282714844, 146.5044403076172)
cream:(255.0, 253.0, 208.0)|(183.19058227539062, 142.46324157714844, 106.88644409179688)
flax:(238.0, 220.0, 130.0)|(214.4422607421875, 166.7842254638672, 125.12928009033203)
grey:(128.0, 128.0, 128.0)|(147.84219360351562, 114.93412780761719, 86.37466430664062)
hazel:(165.0, 42.0, 42.0)|(151.73501586914062, 117.9911880493164, 88.52101135253906)
heaven:(180.0, 176.0, 236.0)|(205.5240020751953, 159.7932891845703, 119.9406509399414)
juniper:(100.0, 217.0, 30.0)|(159.3813934326172, 123.95191192626953, 92.939208984375)
lemon:(253.0, 233.0, 16.0)|(191.2647247314453, 148.7413330078125, 111.61466217041016)
lilac:(200.0, 162.0, 200.0)|(216.0098876953125, 168.00637817382812, 126.0142593383789)
magnolia:(248.0, 244.0, 255.0)|(153.01040649414062, 118.99043273925781, 89.24723815917969)
mauve:(224.0, 176.0, 255.0)|(161.57492065429688, 125.6451187133789, 94.28633880615234)
mustard:(255.0, 219.0, 88.0)|(195.97183227539062, 152.4098663330078, 114.35596466064453)
myrtle:(33.0, 66.0, 30.0)|(144.75927734375, 112.57937622070312, 84.43423461914062)
ogre:(98.0, 43.0, 45.0)|(162.8205108642578, 126.6192626953125, 94.98054504394531)
paper:(194.0, 178.0, 128.0)|(217.0474853515625, 168.78671264648438, 126.71424865722656)
pear:(209.0, 226.0, 49.0)|(204.3272705078125, 158.93348693847656, 119.12255859375)
persimmon:(236.0, 88.0, 0.0)|(249.2824249267578, 193.90577697753906, 145.36996459960938)
plum:(204.0, 153.0, 204.0)|(178.04364013671875, 138.46054077148438, 103.86775970458984)
ripple:(69.0, 62.0, 49.0)|(154.73594665527344, 120.32689666748047, 90.26612854003906)
rose:(255.0, 0.0, 127.0)|(126.2649917602539, 98.14867401123047, 73.66826629638672)
ruby:(224.0, 17.0, 95.0)|(152.11253356933594, 118.28240203857422, 88.75175476074219)
russet:(128.0, 70.0, 27.0)|(183.0515899658203, 142.35614013671875, 106.81221008300781)
rust:(183.0, 65.0, 14.0)|(182.29446411132812, 141.7881622314453, 106.3419189453125)
salmon:(255.0, 140.0, 105.0)|(245.1269073486328, 190.70297241210938, 142.9944305419922)
sap:(92.0, 207.0, 112.0)|(199.68270874023438, 155.30880737304688, 116.46678924560547)
sage:(143.0, 188.0, 139.0)|(209.0238494873047, 162.5821990966797, 121.90213012695312)
sapphire:(8.0, 37.0, 103.0)|(118.4923324584961, 92.10628509521484, 69.14533233642578)
scarlet:(255.0, 36.0, 0.0)|(193.73892211914062, 150.56251525878906, 113.21170806884766)
tan:(210.0, 180.0, 140.0)|(185.43707275390625, 144.22267150878906, 108.17041778564453)
thistle:(216.0, 191.0, 216.0)|(165.5861053466797, 128.76722717285156, 96.61094665527344)
violet:(139.0, 0.0, 255.0)|(173.506591796875, 134.9353790283203, 101.30422973632812)
wheat:(245.0, 222.0, 179.0)|(217.16477966308594, 168.90115356445312, 126.68887329101562)
