green:(0, 128, 0)|(-0.097340606, 0.41224828, 0.04265965, -0.4119052, -0.06234707, -0.8253931, -0.05782419, 1.0375394, -0.07622839, -0.515017, 0.023742056, -0.37555945, -0.18931672, 0.47839916, 0.40559614, -0.018434586, -0.124598086, 0.47531828, 0.06534681, -0.31621403, -0.28212705, -0.074041896, 0.07093608, 0.61596566, -0.067487836, -0.3806256, 0.05606731, 0.040244322, 0.43224883, -0.20294288, 0.11966438, -0.058228567, -0.020429205, 0.34411985, -0.28147358, 0.45418248, 1.0502913, -0.24683715, 0.28607228, -0.2844673, 0.2436823, 0.37962055, -0.42170006, -0.30588323, -0.348578, 0.3298497, 0.20239232, 0.074663125, 0.18740678, -0.048952445, 0.074797906, -0.028950537, 0.20857818, -0.21380693, -0.17769134, -0.16994281, -0.22203961, -0.5040547, -0.0370411, -0.52533233, -0.2973378, 0.31075233, -0.044301376, -0.36253992, -0.10785185, -0.17388393, -0.046600852, -0.20276165, -0.2316218, 0.10221072, -0.22268757, -0.18638888, -0.024720624, 0.19409801, -0.23125605, -0.07694657, 0.37719834, 0.17788354, -0.12412383, 0.58206487, 0.026480595, 0.024980918, -0.35347754, 0.07500934, -0.5953034, 0.054419506, 0.00063384435, -0.03378845, 0.07072407, 0.4910588, -0.06218076, 0.047717374, -0.06250036, 0.25712505, 0.5509673, -0.18440028, 0.23539223, -0.3101096, -0.1885929, 0.31625682)
yellow:(255, 255, 0)|(-0.059702344, -0.025440255, 0.18759233, -0.45158598, 0.4847903, -1.0959523, -0.2050379, 1.1866341, -0.120700136, -0.41561824, 0.13475133, -0.44370475, -0.38182268, 0.5124119, 0.13405406, -0.03151589, -0.24979407, 0.18278666, -0.0074741477, -0.41801533, -0.23427595, 0.03898482, 0.17275596, 0.3159992, 0.1459278, -0.2888854, -0.19911814, 0.1004902, 0.35481414, 0.20479463, 0.35125148, -0.19024605, 0.2108047, 0.10494486, -0.22595948, -0.054047633, 0.66749185, 0.05453993, 0.10026506, -0.15280733, -0.111001104, 0.26165375, -0.25397003, 0.4946066, -0.22541134, 0.2994415, 0.0840256, 0.41532305, -0.31979394, 0.5145503, 0.28840187, 0.2808525, 0.07178054, -0.0430081, -0.6053696, -0.21921602, 0.06253409, -0.23053946, -0.040161513, -0.37088442, -0.19209592, 0.31093583, 0.33316338, -0.024244549, 0.3672079, -0.17098305, 0.33468658, -0.48116255, -0.47531697, -0.14203814, 0.19534668, 0.19277784, -0.3183348, -0.073117346, -0.015901644, -0.103919245, 0.3404406, 0.31408444, -0.02847367, 0.14203626, 0.050956625, 0.3518651, 0.070046306, -0.20332351, -0.3968747, 0.16969956, -0.04887031, -0.12389881, 0.032078877, 0.34880957, 0.2944974, -0.027133081, -0.14260605, -0.028945487, 0.5613539, 0.20776345, 0.1540513, -0.510672, 0.1441221, 0.4941424)
red:(255, 0, 0)|(0.1390953, 0.10530368, 0.48121148, 0.034658402, 0.4526024, -0.4367339, -0.22037019, 0.75144124, -0.2667645, -0.36633664, -0.10235538, -0.3647271, -0.38686067, 0.519309, 0.4319969, -0.44008127, 0.24982, 0.058855228, -0.0041499846, -0.109629005, -0.28557932, 0.29455006, 0.08719409, 0.5580481, 0.16415527, 0.14063536, -0.31792566, 0.17633153, 0.3109893, 0.020876825, -0.09003962, -0.08225668, 0.3694661, -0.00891936, -0.18203868, -0.13500494, 0.71794075, -0.2211248, 0.091171, -0.38196513, -0.008698094, 0.0331359, -0.14136742, 0.36124486, -0.24756812, 0.5675443, -0.29162598, -0.16100764, -0.43176347, 0.42816836, 0.26170212, 0.4747272, -0.22870992, -0.6648061, -0.41389236, -0.5550367, -0.46550542, -0.036964327, 0.19880582, -0.5326451, -0.261499, 0.19268702, 0.3130024, -0.76422143, 0.46016985, -0.5081084, -0.17155069, -0.48880732, -0.56306994, -0.2460965, 0.66647834, 0.47306648, -0.021287953, 0.028217033, 0.27444333, -0.0372462, 0.1236829, 0.1725756, -0.21504019, -0.104745135, -0.56152344, 0.34241483, -0.0044636205, -0.12702999, -0.30941197, 0.053286813, 0.16315389, 0.12994559, -0.179454, 0.16251987, -0.080398686, 0.18504779, 0.08911847, 0.16559756, 0.7285056, -0.05957938, 0.3703244, -0.25674814, 0.06634049, 0.46181446)
blue:(0, 0, 255)|(0.09063533, 0.18598008, -0.19906433, -0.4236156, 0.23394015, -0.92652774, 0.17929204, 0.64492816, -0.32531506, -0.6079569, 0.11189483, -0.11715791, -0.15004565, 0.51594585, 0.45786455, 0.05272771, -0.09766603, 0.29665703, 0.21791017, -0.35417584, -0.2838328, -0.028541313, 0.07658502, 0.6602901, 0.39266506, 0.16058685, 0.014359188, 0.04779201, 0.03154479, -0.04037095, 0.39520246, -0.20545426, 0.1853506, 0.49498555, -0.44855595, 0.44878232, 0.6852089, 0.37759644, -0.20500647, -0.053417962, 0.12328274, 0.35592365, -0.5060309, 0.10218783, 0.0761459, 0.5952727, -0.13999167, 0.11723201, -0.20320538, 0.3421652, 0.16196646, -0.49791485, -0.029522687, -0.51017714, -0.6721755, -0.35229725, -0.066522874, -0.30980304, 0.07966784, -0.28800893, 0.019342873, -0.13957267, -0.22645868, -0.5384875, 0.49162674, 0.02632053, 0.4114764, -0.32151777, -0.1803932, 0.19781917, -0.24327728, 0.24240002, -0.42232436, 0.35630804, -0.08368568, 0.35910538, 0.23945236, 0.36086676, 0.2183668, 0.027254347, 0.08077602, 0.020164203, -0.1684727, 0.08689428, 0.09483981, 0.111225404, 0.035697486, -0.14548725, -0.07167116, 0.36188623, 0.27601337, 0.014978554, 0.33146918, 0.121464975, 0.9413572, 0.07252228, 0.5375792, -0.5858873, -0.7022242, 0.38311213)
white:(255, 255, 255)|(0.04952453, 0.024009537, -0.035851005, -0.41893396, 0.53326756, -0.7225383, -0.06775445, 0.53625786, -0.16154404, -0.710564, 0.2777001, -0.515404, 0.115956716, 1.0656917, 0.12474499, -0.5561213, 0.02943165, 0.121132165, -0.3465476, -0.6122174, -0.59662193, 0.40119636, -0.07992284, 0.08039945, 0.22652012, 0.004891045, 0.045697466, 0.036478482, 0.21040857, -0.11649732, -0.037609316, 0.32031706, 0.3499718, 0.46182945, -0.5937563, 0.13249278, 0.3395764, 0.24765503, 0.2348648, -0.24176896, 0.033617124, -0.09002935, -0.29851982, 0.5380103, -0.29277143, 0.048324335, 0.026238944, -0.28013143, -0.10111102, 0.35902497, 0.2292293, -0.012547583, -0.16973586, -0.20734236, -0.1546106, -0.4237013, 0.023157855, -0.4853101, -0.09836494, -0.31764036, -0.0020761685, -0.13503124, 0.21999474, -0.34777603, 0.6971128, -0.45078427, 0.12492291, -0.17689742, -0.44206202, 0.1705869, 0.29889944, -0.3323956, -0.7192867, 0.25360566, -0.1174346, 0.22182614, 0.20822984, 0.4796677, -0.5067553, 0.015039868, -0.23369089, 0.5595426, -0.16592373, -0.18503678, -0.5642556, 0.00025225128, -0.023424555, 0.5966244, -0.19001833, 0.4305262, 0.37356892, 0.490216, 0.33346972, 0.089364834, 0.27559757, 0.009789182, 0.027661646, -0.59283227, 0.08676054, -0.07017886)
pink:(255, 192, 203)|(0.020045416, 0.3300766, 0.058073197, -0.25702712, 0.37730414, -0.6734465, -0.11878586, 0.45955682, -0.17115928, -0.19090258, 0.05662421, -0.2934221, -0.2017393, 0.56954676, 0.074395895, -0.18043378, 0.14077368, 0.039523635, 0.16655745, -0.14331877, 0.0048659565, -0.13378166, 0.42971486, 0.64916825, 0.045499388, -0.10535174, -0.037618507, 0.015675524, 0.25558433, -0.039878707, 0.14164434, -0.00011048547, 0.099731326, 0.056455676, 0.09126331, 0.08495401, 0.6350541, 0.18572521, -0.026462682, -0.00021576954, -0.3875579, -0.08085866, -0.2915861, 0.20785877, 0.10583838, 0.23508386, -0.15528291, 0.09448536, 0.055889465, 0.41083184, 0.20073132, 0.042297162, -0.33932865, -0.06786056, -0.22591569, -0.35609522, -0.017289596, -0.319641, -0.22092536, -0.51081944, 0.010419298, 0.19190818, 0.16988204, -0.29244095, 0.19170436, -0.19660747, 0.20814, -0.28455958, -0.21866047, -0.103235304, 0.29015568, -0.005778931, -0.2935151, -0.084757864, -0.14668535, 0.17647327, -0.0020190952, 0.32223007, -0.23001067, 0.16309199, -0.018126547, 0.25409523, 0.18632048, -0.28990218, -0.1587351, -0.20917526, 0.007564394, 0.17769279, -0.34066334, 0.22141688, 0.0050470177, -0.1453599, 0.12900485, 0.0025286684, 0.6659177, 0.23850082, 0.265465, -0.4176454, -0.39842886, 0.5515376)
brown:(165, 42, 42)|(-0.25305086, 0.19383541, 0.41413173, -0.13198711, 0.090997905, -0.70996475, 0.040746674, 0.4671374, -0.25753102, -0.30110392, -0.15960385, -0.18194668, -0.31511357, 0.4534716, 0.055233162, -0.27440372, 0.047015894, 0.30345684, -0.10614455, -0.20422044, -0.18741083, 0.20809236, 0.53803164, 0.43443605, 0.0704012, 0.17610092, -0.30815032, -0.1114042, 0.33646768, 0.02337429, -0.09420201, 0.40334147, -0.05925602, 0.60104567, 0.002611489, -0.08310329, 1.0681782, 0.21648605, -0.007426719, -0.0803282, -0.084121466, -0.102875836, -0.62559754, 0.23777314, 0.1880213, -0.039707668, -0.13050906, 0.032835472, 0.21164252, 0.33590087, 0.058599327, 0.069619045, -0.042694684, -0.24871738, -0.5425468, -0.55651367, -0.105883114, -0.58317506, -0.079863004, -0.24138758, -0.13299732, 0.25391552, 0.08438915, -0.282884, 0.00048034874, -0.58165044, 0.22719014, -0.038511068, -0.06672363, -0.24866822, 0.23778178, 0.19175008, -0.30031002, -0.33527222, -0.20607185, 0.27174926, -0.057693027, -0.1685387, -0.058295928, 0.2573986, 0.15073639, 0.23186842, 0.21035129, -0.085562035, -0.4688396, -0.2653024, -0.044691127, -0.07261951, -0.3072038, 0.16562793, 0.2580693, 0.36745548, -0.03942798, 0.15595713, 0.7611913, -0.028620938, 0.43080595, -0.44494918, -0.19230144, 0.38729244)
black:(0, 0, 0)|(0.5472854, -0.134862, -0.044917125, -0.1000361, 0.3724346, -0.6650681, -0.26095515, 0.7328315, 0.0010850272, -0.18259805, -0.47849044, -0.52471125, 0.13762677, 0.523918, 0.059652008, -0.51110744, 0.2423245, -0.46139342, -0.27186817, -0.30662262, -0.16473107, 0.12459351, 0.41112408, 0.17935438, -0.24831404, -0.13669538, 0.0022601807, -0.29274756, 0.10966146, -0.018040016, 0.5039159, 0.31708884, 0.41101614, 0.5031369, -0.25782797, -0.11385447, 0.6121257, 0.5793218, -0.05954693, -0.1541129, -0.093064986, -0.20951569, -0.17030266, 0.44395807, 0.014385815, 0.22767888, 0.059237268, -0.6106122, 0.1562525, 0.44940588, -0.014319958, 0.4108143, 0.015012112, -0.21326496, -0.6490933, -0.514423, 0.0016171628, 0.20314635, 0.0049278876, -0.39857146, 0.2114182, 0.07342379, 0.1605917, -0.05102228, 0.3022374, -0.7535647, 0.054924965, -0.6100944, -0.22151639, -0.029039765, 0.113366745, -0.071090855, -0.26510388, 0.034585815, -0.010373516, -0.22076571, 0.09276545, 0.32262236, -0.2965928, 0.30386958, 0.20592965, 0.020586345, -0.005503838, -0.15994537, -0.42154643, -0.054646175, 0.16458444, 0.75294644, -0.3066963, 0.013642405, -0.041363202, -0.032050107, 0.6790784, 0.16333836, 0.34796673, 0.13252005, 0.27306026, -0.36967847, -0.17164683, 0.4261681)
silver:(192, 192, 192)|(-0.05728709, 0.4182866, 0.013905818, -0.044214122, 0.22049095, -0.2606774, -0.305121, 0.5176553, -0.2461387, -0.45516223, 0.32459846, 0.014149974, -0.10068146, 0.6592759, 0.43752456, 0.3561177, 0.45880464, -0.19978839, -0.4672644, -0.47554618, 0.4420702, 0.63679457, 0.62407345, 0.16223808, -0.25692356, 0.06741342, -0.5903008, 0.103579395, 0.45802197, -0.09211591, -0.49362525, -0.18419605, -0.019033074, -0.35018685, -0.4066714, 0.89436096, 0.14324187, 0.15115027, -0.18508568, -0.25189313, 0.34370032, 0.067639746, 0.09150954, -0.2216142, 0.9282701, 0.35764077, -0.21462673, -0.47384983, -0.30029923, 0.22204842, -0.42979932, 0.49525285, -0.69725025, 0.70183474, -0.41655156, -0.27117968, 0.009742528, -0.39265338, -0.19319819, -0.4180787, 0.60019886, 0.588301, -0.00087698165, -0.07741357, -0.32322556, 0.55660766, 0.22126655, 0.65712684, -0.15775305, 0.32393518, 0.39376333, 0.6136057, -0.6063071, -0.062157124, -0.17937441, 0.2722004, 0.24491237, 0.6546681, 0.12904556, -0.4163104, -0.29147395, -0.16508311, -0.62727153, 0.15901539, 0.3083747, 0.27611387, 0.2087644, 0.19755611, -0.11365739, 0.17173532, -0.09440797, -0.610548, -0.1289975, 0.07641128, 1.1250265, 0.28576893, 0.09806681, -0.5380123, -0.26774997, -0.1606915)
maroon:(128, 0, 0)|(-0.1313764, 0.14397958, 0.048662156, 0.047363255, 0.0045351153, -0.32309553, 0.08012046, 0.47273162, -0.14818683, -0.17443208, -0.004003476, -0.18491292, -0.030590668, 0.22003867, -0.08586912, -0.09780602, 0.16987474, -0.07980211, 0.0065518883, -0.2387356, 0.08364556, -0.00617735, 0.23463662, 0.05676981, 0.068698645, -0.0009413547, -0.07035844, 0.07177002, -0.08851818, -0.009720087, 0.10808123, 0.0155660575, 0.056806274, 0.055348802, 0.09799403, 0.10177864, 0.23274666, -0.069186546, -0.08627755, -0.029798632, -0.11591281, -0.016818065, -0.08801915, -0.08278152, 0.1733105, 0.017537156, -0.13226895, 0.009552797, 0.064106055, 0.16526651, 0.09529907, 0.004630633, -0.20629327, 0.08427341, -0.24141137, -0.10971728, 0.120961785, -0.046964414, -0.08795837, -0.08459216, 0.15024099, 0.074728385, 0.034261595, -0.041174892, -0.08883406, 0.013890173, 0.16980639, 0.03813367, -0.14578293, 0.1584143, 0.056767713, 0.030019538, 0.018964747, -0.14378648, 0.06770459, 0.021976644, -0.04953345, 0.059399113, -0.06428793, 0.114509575, -0.08829089, 0.17365451, -0.11316047, 0.033935763, -0.073476404, -0.03620737, -0.09383979, 0.10659624, 0.038442396, 0.14671844, -0.0017857279, -0.038273796, 0.038868975, 0.03708666, 0.43435106, 0.039373055, 0.14218606, -0.1836962, -0.11409506, 0.26498467)
