green:(0, 128, 0)|(0.3841606, 0.90748763, 0.9780385)
yellow:(255, 255, 0)|(0.51488554, 1.1710554, 0.90222126)
red:(255, 0, 0)|(0.3089769, 0.6752105, 1.0622764)
blue:(0, 0, 255)|(1.335272, 0.62649894, 1.0764726)
white:(255, 255, 255)|(0.30594584, 0.605347, 1.0960828)
pink:(255, 192, 203)|(0.034731746, 0.90976024, 0.981872)
brown:(165, 42, 42)|(0.15516378, 1.1619291, 0.9041921)
black:(0, 0, 0)|(-0.041738406, 0.7418456, 1.1148902)
silver:(192, 192, 192)|(1.6438144, 0.2909051, 1.3976715)
maroon:(128, 0, 0)|(0.14555503, 0.4768105, 1.1048944)
purple:(128, 0, 128)|(1.9274985, 0.67083335, 1.2531711)
gray:(128, 128, 128)|(0.23525791, 1.5894634, 0.83308464)
lime:(0, 255, 0)|(0.24961713, 0.75166947, 0.97285485)
olive:(128, 128, 0)|(1.2397205, 0.30189124, 1.3215673)
navy:(0, 0, 128)|(0.6178441, 0.02949179, 1.3644216)
azure:(240, 255, 255)|(0.64104676, 0.4437013, 1.1805267)
chocolate:(210, 105, 30)|(-0.34004995, 0.05088096, 1.5183734)
coral:(255, 127, 80)|(0.32189396, 0.7183755, 1.001539)
crimson:(220, 20, 60)|(0.8192113, 0.2922251, 1.2714998)
gold:(255, 215, 0)|(1.4432788, 0.43089932, 1.2568485)
ivory:(255, 255, 240)|(0.60840005, 0.33076528, 1.165368)
lavender:(230, 230, 250)|(-0.2340855, 0.7015081, 1.0505657)
linen:(250, 240, 230)|(2.5272133, 0.28609017, 1.7812738)
orange:(255, 165, 0)|(0.08038881, 1.4842206, 0.83466226)
amber:(255, 191, 0)|(-0.11658265, 0.63400066, 1.1867871)
apricot:(251, 206, 177)|(0.080289766, 0.45058706, 1.0296181)
auburn:(109, 53, 26)|(0.34047076, 0.6999232, 0.967431)
blush:(248, 136, 133)|(-0.47956294, -0.019144451, 1.6114812)
brass:(181, 166, 66)|(2.1110187, 0.1411299, 1.6478134)
bronze:(205, 127, 50)|(0.5146517, 0.16977191, 1.457434)
buff:(240, 220, 130)|(0.06014647, 0.68173593, 1.1234183)
cerulean:(0, 123, 167)|(0.23488335, 0.89331746, 1.0074952)
champagne:(247, 231, 206)|(-0.85318124, 0.15783049, 1.5741705)
charcoal:(70, 70, 70)|(0.18473428, 0.101790436, 1.3208872)
chestnut:(205, 92, 92)|(0.115624055, 1.1912042, 0.83505005)
cinnamon:(210, 105, 30)|(1.5955898, 0.5740394, 1.0473694)
copper:(184, 115, 51)|(0.7410337, 0.40579715, 1.1758674)
corn:(251, 236, 93)|(0.9288672, 0.5665492, 1.1659132)
cream:(255, 253, 208)|(0.10989582, 0.32652646, 1.2872351)
flax:(238, 220, 130)|(1.1321304, 1.3212236, 0.85314405)
grey:(128, 128, 128)|(-0.12969953, 0.3955027, 1.2906669)
hazel:(165, 42, 42)|(0.31675863, 0.5616403, 1.102911)
heaven:(180, 176, 236)|(0.5431886, -0.18459971, 1.6586485)
juniper:(100, 217, 30)|(0.18920374, 1.0872426, 0.93068475)
lemon:(253, 233, 16)|(0.8634986, 0.98854506, 0.99476635)
lilac:(200, 162, 200)|(0.095290646, 0.88767177, 0.9969262)
magnolia:(248, 244, 255)|(-0.24493542, 0.4643049, 1.0617224)
mauve:(224, 176, 255)|(0.2580242, 0.57427573, 1.0814884)
mustard:(255, 219, 88)|(-0.289313, 0.17277637, 1.3535426)
myrtle:(33, 66, 30)|(0.0041695456, 0.74327004, 1.049538)
ogre:(98, 43, 45)|(-0.12525514, 0.70305413, 1.0911202)
paper:(194, 178, 128)|(-0.32415047, 0.15064615, 1.4471318)
pear:(209, 226, 49)|(-0.07515378, 2.2633662, 0.9140888)
persimmon:(236, 88, 0)|(0.972097, 1.7931186, 0.8607177)
plum:(204, 153, 204)|(0.13280393, 0.7233067, 1.1227366)
ripple:(69, 62, 49)|(0.16622938, 0.4784733, 1.1644658)
rose:(255, 0, 127)|(0.45316648, -0.0024881235, 1.4656073)
ruby:(224, 17, 95)|(0.382964, 0.5948395, 1.11189)
russet:(128, 70, 27)|(0.3441598, 0.51622754, 1.1828418)
rust:(183, 65, 14)|(0.107164614, 0.6561299, 1.1299586)
salmon:(255, 140, 105)|(-0.641151, 0.65969515, 1.2191981)
sap:(92, 207, 112)|(0.063170835, 1.0635167, 0.9132246)
sage:(143, 188, 139)|(0.08128282, 0.93265164, 0.9930008)
sapphire:(8, 37, 103)|(0.42236343, 0.3994942, 1.1429209)
scarlet:(255, 36, 0)|(2.3351986, 0.49855298, 1.5475639)
tan:(210, 180, 140)|(0.32775533, 0.71316504, 1.0735203)
thistle:(216, 191, 216)|(0.076959796, 0.19348736, 1.2929705)
violet:(139, 0, 255)|(0.33137614, 0.54878896, 1.1130959)
wheat:(245, 222, 179)|(1.4438293, 1.1858006, 0.8729196)
