green:(0.0, 128.0, 0.0)|(171.8965301513672, 140.7073211669922, 108.1507797241211)
yellow:(255.0, 255.0, 0.0)|(184.4789581298828, 151.0394744873047, 116.07828521728516)
red:(255.0, 0.0, 0.0)|(162.82081604003906, 133.25425720214844, 102.43248748779297)
blue:(0.0, 0.0, 255.0)|(186.515625, 152.70957946777344, 117.36060333251953)
white:(255.0, 255.0, 255.0)|(161.07276916503906, 131.81846618652344, 101.33099365234375)
pink:(255.0, 192.0, 203.0)|(163.5884246826172, 133.8855743408203, 102.91648864746094)
brown:(165.0, 42.0, 42.0)|(175.210205078125, 143.4290008544922, 110.23878479003906)
black:(0.0, 0.0, 0.0)|(160.71066284179688, 131.5205078125, 101.10262298583984)
silver:(192.0, 192.0, 192.0)|(195.4347381591797, 160.0275421142578, 122.977783203125)
maroon:(128.0, 0.0, 0.0)|(150.89170837402344, 123.45902252197266, 94.9167709350586)
purple:(128.0, 0.0, 128.0)|(213.8648223876953, 175.1621856689453, 134.58981323242188)
gray:(128.0, 128.0, 128.0)|(195.39608764648438, 160.00381469726562, 122.9564437866211)
lime:(0.0, 255.0, 0.0)|(160.10675048828125, 131.02731323242188, 100.72315216064453)
olive:(128.0, 128.0, 0.0)|(181.5398406982422, 148.6200408935547, 114.2242660522461)
navy:(0.0, 0.0, 128.0)|(154.40057373046875, 126.33611297607422, 97.12592315673828)
azure:(240.0, 255.0, 255.0)|(165.8641815185547, 135.75135803222656, 104.34920501708984)
chocolate:(210.0, 105.0, 30.0)|(140.83340454101562, 115.19334411621094, 88.57723999023438)
coral:(255.0, 127.0, 80.0)|(161.83663940429688, 132.4472198486328, 101.81283569335938)
crimson:(220.0, 20.0, 60.0)|(167.68504333496094, 137.24502563476562, 105.495849609375)
gold:(255.0, 215.0, 0.0)|(189.53480529785156, 155.18556213378906, 119.26160430908203)
ivory:(255.0, 255.0, 240.0)|(158.25636291503906, 129.5052032470703, 99.55632781982422)
lavender:(230.0, 230.0, 250.0)|(150.0637664794922, 122.77978515625, 94.39537048339844)
linen:(250.0, 240.0, 230.0)|(239.5586700439453, 196.2498321533203, 150.77395629882812)
orange:(255.0, 165.0, 0.0)|(186.14639282226562, 152.40921020507812, 117.12903594970703)
amber:(255.0, 191.0, 0.0)|(157.43128967285156, 128.82672119140625, 99.0361328125)
apricot:(251.0, 206.0, 177.0)|(143.487548828125, 117.38105773925781, 90.25257110595703)
auburn:(109.0, 53.0, 26.0)|(159.33010864257812, 130.38983154296875, 100.23393249511719)
blush:(248.0, 136.0, 133.0)|(139.17628479003906, 113.83108520507812, 87.5326156616211)
brass:(181.0, 166.0, 66.0)|(213.83840942382812, 175.1341094970703, 134.57078552246094)
