green:(0.0, 128.0, 0.0)|(156.5873260498047, 134.54754638671875, 122.02242279052734)
yellow:(255.0, 255.0, 0.0)|(156.5873260498047, 134.54754638671875, 122.02241516113281)
red:(255.0, 0.0, 0.0)|(156.5873260498047, 134.54754638671875, 122.02242279052734)
blue:(0.0, 0.0, 255.0)|(156.5873260498047, 134.54754638671875, 122.02241516113281)
white:(255.0, 255.0, 255.0)|(156.5873260498047, 134.54754638671875, 122.02241516113281)
pink:(255.0, 192.0, 203.0)|(156.5873260498047, 134.54754638671875, 122.02242279052734)
brown:(165.0, 42.0, 42.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
black:(0.0, 0.0, 0.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
silver:(192.0, 192.0, 192.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
maroon:(128.0, 0.0, 0.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
purple:(128.0, 0.0, 128.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
gray:(128.0, 128.0, 128.0)|(156.5873260498047, 134.54754638671875, 122.02241516113281)
fuchsia:(255.0, 0.0, 255.0)|(156.5873260498047, 134.54754638671875, 122.02241516113281)
lime:(0.0, 255.0, 0.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
olive:(128.0, 128.0, 0.0)|(156.5873260498047, 134.54754638671875, 122.02241516113281)
navy:(0.0, 0.0, 128.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
teal:(0.0, 128.0, 128.0)|(156.5873260498047, 134.54754638671875, 122.02241516113281)
aqua:(0.0, 255.0, 255.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
alice blue:(240.0, 248.0, 255.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
antique white:(250.0, 235.0, 215.0)|(156.5873260498047, 134.54754638671875, 122.02241516113281)
aquamarine:(127.0, 255.0, 212.0)|(156.5873260498047, 134.54754638671875, 122.02242279052734)
azure:(240.0, 255.0, 255.0)|(156.5873260498047, 134.54754638671875, 122.02242279052734)
beige:(245.0, 245.0, 220.0)|(156.5873260498047, 134.54754638671875, 122.02242279052734)
bisque:(255.0, 228.0, 196.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
blue violet:(138.0, 43.0, 226.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
blanched almond:(255.0, 235.0, 205.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
burlywood:(222.0, 184.0, 135.0)|(156.5873260498047, 134.54754638671875, 122.02241516113281)
cadet blue:(95.0, 158.0, 160.0)|(156.5873260498047, 134.54754638671875, 122.02240753173828)
chartreuse:(127.0, 255.0, 0.0)|(156.5873260498047, 134.54754638671875, 122.02242279052734)
